"技能id","策划备注","未学会时描述","技能等级1所需熟练度","技能等级1描述","技能等级2所需熟练度","技能等级2描述","技能等级3所需熟练度","技能等级3描述","技能等级4所需熟练度","技能等级4描述","技能等级5所需熟练度","技能等级5描述","技能等级6所需熟练度","技能等级6描述","技能等级7所需熟练度","技能等级7描述","技能等级8所需熟练度","技能等级8描述","技能等级9所需熟练度","技能等级9描述","技能等级10所需熟练度","技能等级10描述","技能等级11所需熟练度","技能等级11描述","技能等级12所需熟练度","技能等级12描述","技能等级13所需熟练度","技能等级13描述","技能等级14所需熟练度","技能等级14描述","技能等级15所需熟练度","技能等级15描述","技能等级16所需熟练度","技能等级16描述"
"190701",,"青藤甲","1","等级越高，提升属性越多","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”","200","[colour='ffffff33']清风拂面[colour='ffffffff']\n“勤能补拙，熟能生巧”\n“熟练越高，效果越好”"
"110000","武器大师","永久增加主角的物理攻击","1","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击","200","永久增加主角的物理攻击"
"110001","幻影冲锋","增加使用时的伤害，70级可攻击4个目标","1","增加使用时的伤害，70级可攻击4个目标","70","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害","200","增加使用时的伤害"
"110002","嘲讽","增加使用时的伤害，减少虚弱休息降低双防效果","1","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果","200","增加使用时的伤害，减少虚弱休息降低双防效果"
"110003","毁灭打击","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","1","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度","200","增加使用时的伤害，增加临时提高双防的效果，永久增加主角的速度"
"110004","蓄力猛击","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","1","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性","200","增加使用时的伤害，增加临时提高速度效果，永久增加主角的控制抗性"
"110005","破甲","增加附魔附加生命的效果，永久增加主角的物理防御","1","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御","200","增加附魔附加生命的效果，永久增加主角的物理防御"
"110006","附魔：钢铁之躯","啊","1","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊"
"110007","无敌斩","啊","1","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊"
"110008","战士被动1","啊","1","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊","200","啊"
